日期,收盘价,涨跌幅,主力净流入,超大单净流入,大单净流入,中单净流入,小单净流入
净额,净占比,净额,净占比,净额,净占比,净额,净占比,净额,净占比
2022-12-13,3.86,-0.77%,-1560.44万,-19.53%,-595.03万,-7.45%,-965.41万,-12.08%,68.22万,0.85%,1492.21万,18.68%
2022-12-12,3.89,-2.26%,-1409.07万,-10.81%,-745.04万,-5.72%,-664.03万,-5.10%,-204.44万,-1.57%,1613.51万,12.38%
2022-12-09,3.98,0.00%,-856.31万,-7.19%,-330.19万,-2.77%,-526.12万,-4.42%,-318.15万,-2.67%,1174.46万,9.87%
2022-12-08,3.98,-0.50%,76.94万,0.90%,234.63万,2.75%,-157.69万,-1.85%,-880.88万,-10.33%,803.94万,9.43%
2022-12-07,4.00,-0.99%,-1189.21万,-11.19%,-947.08万,-8.91%,-242.14万,-2.28%,-608.32万,-5.72%,1797.53万,16.91%
2022-12-06,4.04,-1.70%,-1025.38万,-7.29%,-944.61万,-6.72%,-80.76万,-0.57%,-63.81万,-0.45%,1089.19万,7.75%
2022-12-05,4.11,1.23%,84.19万,0.47%,778.79万,4.38%,-694.60万,-3.90%,-101.38万,-0.57%,17.19万,0.10%
2022-12-02,4.06,0.00%,-693.09万,-4.98%,-628.68万,-4.52%,-64.40万,-0.46%,-236.42万,-1.70%,929.50万,6.68%
2022-12-01,4.06,-1.46%,-1049.46万,-4.87%,-365.53万,-1.70%,-683.94万,-3.17%,145.84万,0.68%,903.62万,4.19%
2022-11-30,4.12,3.00%,1190.72万,3.41%,1212.56万,3.48%,-21.83万,-0.06%,-117.66万,-0.34%,-1073.06万,-3.08%
2022-11-29,4.00,1.01%,670.51万,4.07%,770.53万,4.68%,-100.02万,-0.61%,158.51万,0.96%,-829.02万,-5.03%
2022-11-28,3.96,1.28%,-324.38万,-2.23%,460.43万,3.17%,-784.81万,-5.40%,-176.21万,-1.21%,500.59万,3.44%
2022-11-25,3.91,-1.51%,-1919.05万,-13.83%,-1169.82万,-8.43%,-749.23万,-5.40%,-191.81万,-1.38%,2110.85万,15.21%
2022-11-24,3.97,2.06%,949.62万,3.79%,899.07万,3.59%,50.55万,0.20%,-461.38万,-1.84%,-488.23万,-1.95%
2022-11-23,3.89,2.64%,259.21万,1.50%,949.22万,5.51%,-690.02万,-4.00%,897.29万,5.21%,-1156.49万,-6.71%
2022-11-22,3.79,-2.07%,-2304.87万,-16.62%,-617.08万,-4.45%,-1687.78万,-12.17%,-2.20万,-0.02%,2307.07万,16.63%
2022-11-21,3.87,-1.02%,-882.84万,-9.44%,0.00,0.00%,-882.84万,-9.44%,-6.94万,-0.07%,889.78万,9.51%
2022-11-18,3.91,-1.01%,-679.53万,-4.98%,-1034.27万,-7.59%,354.75万,2.60%,3.35万,0.02%,676.17万,4.96%
2022-11-17,3.95,-0.50%,436.52万,3.83%,620.13万,5.44%,-183.61万,-1.61%,-1073.85万,-9.42%,637.33万,5.59%
2022-11-16,3.97,-1.49%,-1855.59万,-9.47%,-1706.56万,-8.71%,-149.02万,-0.76%,1080.60万,5.51%,774.99万,3.96%
2022-11-15,4.03,3.87%,1961.01万,7.62%,1676.76万,6.51%,284.25万,1.10%,-726.16万,-2.82%,-1234.85万,-4.80%
2022-11-14,3.88,-1.02%,-1830.95万,-16.04%,-618.89万,-5.42%,-1212.07万,-10.62%,255.60万,2.24%,1575.36万,13.80%
2022-11-11,3.92,0.26%,-659.06万,-5.10%,21.03万,0.16%,-680.09万,-5.27%,-441.65万,-3.42%,1100.71万,8.52%
2022-11-10,3.91,-1.51%,-605.53万,-5.18%,174.48万,1.49%,-780.01万,-6.67%,-311.47万,-2.66%,917.00万,7.84%
